,time,u_out
0,0.0,-0.009607336352873369
1,0.1,0.0060064219329215175
2,0.2,0.00183086464925529
3,0.30000000000000004,0.01755530166379246
4,0.4,0.030607095476240274
5,0.5,0.04946518250468419
6,0.6000000000000001,0.054747933266490544
7,0.7000000000000001,0.06677871944681611
8,0.8,0.06872954548586835
9,0.9,0.08340987052440374
10,1.0,0.10181588063797524
11,1.1,0.10061936735130689
12,1.2000000000000002,0.13160513597863385
13,1.3,0.12719457573970072
14,1.4000000000000001,0.12259032404860751
15,1.5,0.13595773524062305
16,1.6,0.1706004453080711
17,1.7000000000000002,0.16512547497780672
18,1.8,0.17421654988989066
19,1.9000000000000001,0.182341486076668
20,2.0,0.20598856096098397
21,2.1,0.21544167660024868
22,2.2,0.2332400467810455
23,2.3000000000000003,0.2323894197136257
24,2.4000000000000004,0.23740418545818273
25,2.5,0.2549379184997132
26,2.6,0.2693603130673373
27,2.7,0.26765957312148736
28,2.8000000000000003,0.28207814631658806
29,2.9000000000000004,0.273680224653123
30,3.0,0.27140134180695
31,3.1,0.3064137048525812
32,3.2,0.2919573740259137
33,3.3000000000000003,0.3111966671673433
34,3.4000000000000004,0.2971997834897882
35,3.5,0.31148393541276553
36,3.6,0.3102874554991794
37,3.7,0.32297892539982886
38,3.8000000000000003,0.31721732384866913
39,3.9000000000000004,0.3208387669713402
40,4.0,0.30764294276392123
41,4.1000000000000005,0.3123749526188317
42,4.2,0.33563047783068045
43,4.3,0.3481491398770732
44,4.4,0.31866602791772386
45,4.5,0.3276978757150696
46,4.6000000000000005,0.31046006440798385
47,4.7,0.31972384889124633
48,4.800000000000001,0.33648989511757754
49,4.9,0.3246231312958028
50,5.0,0.34985772415544686
51,5.1000000000000005,0.3221501586516354
52,5.2,0.3483267405113889
53,5.300000000000001,0.33001392496443377
54,5.4,0.3234769786552816
55,5.5,0.32388613329508303
56,5.6000000000000005,0.3164401448685187
57,5.7,0.34542497630852
58,5.800000000000001,0.34819089600491504
59,5.9,0.33476193214829614
60,6.0,0.3384986198211884
61,6.1000000000000005,0.34181086199676797
62,6.2,0.337015990986469
63,6.300000000000001,0.35618844531942345
64,6.4,0.36608000886519054
65,6.5,0.36116570676149345
66,6.6000000000000005,0.35642704555799365
67,6.7,0.3801139441680469
68,6.800000000000001,0.3421096491017512
69,6.9,0.3627407734102193
70,7.0,0.38573836348061546
71,7.1000000000000005,0.37987648726189155
72,7.2,0.3844030916439858
73,7.300000000000001,0.38747092758889434
74,7.4,0.4062375851869618
75,7.5,0.41649376098992985
76,7.6000000000000005,0.42244663454420806
77,7.7,0.4122092361773009
78,7.800000000000001,0.4401137585491863
79,7.9,0.4331537155159894
80,8.0,0.42510440850273257
81,8.1,0.4359082952968712
82,8.200000000000001,0.4437605152819798
83,8.3,0.4601431354562654
84,8.4,0.46397159249857733
85,8.5,0.4639129359717918
86,8.6,0.4691363073690855
87,8.700000000000001,0.4740332746263517
88,8.8,0.48095903049066474
89,8.9,0.45633917692430515
90,9.0,0.48343256119200767
91,9.1,0.46759192293236024
92,9.200000000000001,0.47005158049980544
93,9.3,0.4874897519086106
94,9.4,0.48029329813722255
95,9.5,0.4799327037613706
96,9.600000000000001,0.49173875980691373
97,9.700000000000001,0.47248638602515375
98,9.8,0.4704996065080478
99,9.9,0.49722667058146924
100,10.0,0.4750618989618465
101,10.100000000000001,0.4715435981165937
102,10.200000000000001,0.471648717808021
103,10.3,0.46843601477890034
104,10.4,0.4434837893197232
105,10.5,0.4698128737769855
106,10.600000000000001,0.44217961271146417
107,10.700000000000001,0.462989153732696
108,10.8,0.4540484283612074
109,10.9,0.44474317911838895
110,11.0,0.43815882615577234
111,11.100000000000001,0.4415897770767195
112,11.200000000000001,0.42499051126406845
113,11.3,0.4198300190335073
114,11.4,0.42348835550161773
115,11.5,0.4110641734766782
116,11.600000000000001,0.4195773147929457
117,11.700000000000001,0.4079308957631664
118,11.8,0.4066048381541593
119,11.9,0.400078497590406
120,12.0,0.40361670583191717
121,12.100000000000001,0.39869605158208116
122,12.200000000000001,0.40205574077609924
123,12.3,0.4009588806588515
124,12.4,0.4061182661521512
125,12.5,0.3955098455257589
126,12.600000000000001,0.38401365331912696
127,12.700000000000001,0.3699321232946159
128,12.8,0.3580056992193306
129,12.9,0.36813226365907586
130,13.0,0.37001049869276736
131,13.100000000000001,0.382624362898428
132,13.200000000000001,0.3919486979419658
133,13.3,0.3622658359245216
134,13.4,0.3646620601673364
135,13.5,0.4029468081920259
136,13.600000000000001,0.3654043262683642
137,13.700000000000001,0.3751309692815545
138,13.8,0.376059497857697
139,13.9,0.3828192630939797
140,14.0,0.3762136865801136
141,14.100000000000001,0.3916820997268518
142,14.200000000000001,0.3952546856972913
143,14.3,0.38080945510345865
144,14.4,0.39109617963465193
145,14.5,0.3877072678524314
146,14.600000000000001,0.39165277851726016
147,14.700000000000001,0.37484716806343193
148,14.8,0.38679459516434744
149,14.9,0.3970044498117328
150,15.0,0.36986919096532245
151,15.100000000000001,0.38008297917532796
152,15.200000000000001,0.3775371321315977
153,15.3,0.37829739589818967
154,15.4,0.3736032201834441
155,15.5,0.3830017305489815
156,15.600000000000001,0.37749662095048814
157,15.700000000000001,0.3479392544332217
158,15.8,0.3612111876794606
159,15.9,0.36916959099107777
160,16.0,0.3790482462926631
161,16.1,0.36238813819318655
162,16.2,0.36387559013059156
163,16.3,0.3274314515657026
164,16.400000000000002,0.34070014722449005
165,16.5,0.34015042904957343
166,16.6,0.3229964572640402
167,16.7,0.3045025072480169
168,16.8,0.3054809030020576
